depth,cal BP,density,accrate,weight,lycadd,lyc,Abies,Pinus,Juniperus,Taxus,Betula,Corylus,Alnus,Carpinus,Salix,Ulmus,Populus,Acer,Fraxinus,Fagus,Tilia,Juglans,Castanea,Dec_Querc,Mar_Querc,Ever_Querc,Pistacia,Rhamnus,Phillyrea,Buxus,Sambucus,Viburnum,Sanguisorba,Tamarix,Thymelaeaceae,Ephedra distachya,Ephedra fragilis,Ericaceae,Hereda helix,Ilex aquifolium,Viscum album,Lonicera,Vitis,Oleaceae,Myrtus,Olea,,Poaceae,Lygeum spartum,Artemisia,Cichorioideae,Asteroideae,Cardueae,Rubiaceae,Centaurea,Chenopodiaceae,Caryophyllaceae,Plantago,Brassicaceae,Gentiana,Saxifragaceae,Fabaceae,Genista,Lotus type,Trifolium type,Rosaceae,Ribes,Potentilla,Boraginaceae,Sedum,Helianthemum,Linum,Corydalis,Lamiaceae,Urticaceae,Rumex,Plumbaginaceae,Berberidaceae,Euphorbiaceae,Primulaceae,Scrophulariaceae,Papaver,Geraniaceae,Campanulaceae,Dipsacaceae,Malvaceae,Violaceae,Convolvulaceae,Asphodelus,Liliaceae,Iridaceae,Erodium,Cytisus,Crassulaceae,Lycium,Ranunculaceae,Cistaceae,Orobanchaceae,Galium,Apiaceae,Valerianaceae,Cerealia,Polygonaceae,Pinguicula,Droseraceae,Cannabis,Cyperaceae,Epilobium,Aristolochia,Ranunculus,Thalictrum,Lythrum,Juncus,Utricularia,Typha,Pedicularis,Sparganium,Lemna,Nymphaea,Myriophyllum,Potamogeton,Isoetes,Asplenium,Polypodium,Monolete ornametnada,Monolete indeterminada,Botrychium,Osmunda,Pteris,Selaginella,Trilete ornamentada,Trilete indeterminada,Chaetomium,Podospora,Sordaria,Sporormiella
546.5,6467.91,1.7,0.08,2,24200,1,0,108,1,0,61,16,2,0,1,0,0,0,1,0,3,0,0,36,10,8,0,0,0,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,17,0,14,0,1,0,1,0,2,1,1,1,1,1,19,6,1,0,3,0,0,0,3,1,0,0,9,1,1,0,0,0,4,5,0,0,1,0,0,0,0,0,1,0,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
556.5,6586.09,1.8,0.08,3.2,24200,1,0,69,3,0,64,16,2,0,6,2,2,1,2,0,2,0,0,40,25,10,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,23,0,8,0,1,0,2,0,1,1,1,4,1,0,17,3,0,1,5,1,0,2,2,1,0,0,8,5,1,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566.5,6681.7,1.8,0.16,3.3,24200,1,0,76,1,0,54,17,0,0,1,1,0,0,2,0,7,0,0,40,18,12,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,5,0,0,1,1,0,1,2,1,4,2,3,7,5,1,0,11,1,0,0,2,0,0,0,13,0,1,0,0,0,7,5,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,6,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
576.5,6743.43,1.9,0.16,4,24200,17,0,82,5,0,40,16,0,0,2,3,1,0,0,0,6,0,0,31,22,10,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,27,0,2,2,2,0,0,0,4,0,1,4,0,0,17,2,1,2,3,0,0,0,3,0,0,0,11,4,1,0,0,0,5,10,1,0,0,0,0,0,0,0,1,1,0,0,3,0,5,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586.5,6805.17,1.8,0.16,4.1,24200,1,0,83,1,0,45,16,2,0,2,3,0,0,3,0,6,0,0,30,15,12,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,1,0,1,1,0,2,5,0,4,1,1,15,3,0,2,7,0,0,0,2,3,0,0,10,3,2,0,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,1,0,0,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
596.5,6866.91,2.1,0.16,4.7,24200,1,0,76,4,0,58,23,0,0,2,1,0,1,1,0,7,0,0,28,15,8,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,17,0,11,4,2,1,1,0,2,3,0,2,1,1,21,3,0,3,4,0,0,1,0,0,0,0,10,4,2,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
606.5,6928.65,1.9,0.16,4.9,24200,1,0,85,7,0,43,19,1,0,5,2,1,1,1,0,3,0,0,40,4,8,1,0,0,0,3,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,11,0,7,0,1,0,0,0,1,1,1,4,0,0,21,3,2,0,6,1,2,1,1,2,0,0,10,1,0,0,0,0,3,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616.5,6990.39,2,0.16,5.9,24200,1,0,91,2,1,51,17,0,0,5,2,0,0,1,0,5,0,0,28,17,8,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0,7,1,1,0,1,0,2,1,0,3,1,2,16,3,0,1,5,0,0,0,2,1,0,0,9,4,0,0,2,0,4,6,0,0,0,0,0,0,0,0,2,1,0,0,4,0,3,1,1,0,8,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
626.5,7052.13,2,0.16,3.3,24200,28,0,127,5,0,41,21,1,0,2,0,0,0,1,0,5,0,0,20,21,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,1,2,2,1,0,3,0,0,0,0,0,15,1,1,1,6,1,0,0,3,3,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,8,1,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636.5,7113.87,2,0.16,4.7,24200,13,0,78,3,0,52,19,2,0,0,1,3,0,0,0,6,0,0,24,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,7,6,0,1,2,0,2,2,0,4,0,1,14,3,1,3,5,1,0,0,1,3,0,0,13,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,5,1,0,0,7,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
