depth,cal BP,density,accrate,weight,lycadd,lyc,Abies,Pinus,Juniperus,Betula,Corylus,Carpinus,Castanea,Acer,Salix,Alnus,Fraxinus,Fagus,Tilia,Populus,Juglans,Dec_Querc,Ever_Querc,Ulmus,Sorbus,Rhamnus,Buxus,Tamarix,Ephedra distachya,Ephedra fragilis,Ericacea,Phillyrea,Other Oleaceae,Myrtus,Pistacia,Olea,Prunus-type,Genista,Poaceae,Artemisia,Cichorioideae,Asteroideae,Carduaceae,Chenopodiaceae,Caryophyllaceae,Plantago,Brassicaceae,Gentiana,Fabaceae other,Fabaceae trifolium type,Fabaceae lotus type,Cistacea,Linum,Lamiaceae,Rumex,Galium,Scrophulariaceae,Geraniaceae,Iridaceae,Liliacea,Saxifragaceae,Rosaceae,Ranunculaceae,Poligonaceae,Apiaceae,Boraginaceae,Rubiaceae,Crassulaceae,Sedum,Urtica,Primulaceae,Campanulaceae,Helianthemum,Asphodelus,Ranunculus,Thalictrum,Cyperaceae,Typha,Myriophyllum,Potamogeton,Callitriche,Juncus,Pteridophyte monolete ornament,Ptheridophyte monolete lisa,Pteridophyte trilete,Glomus,Sordariales
138.18,1945.59,1.8,0.07,3.2,41696,78,16,135,9,2,46,,,,,12,,1,2,,3,2,4,,,,,,3,1,13,,,,,1,,,6,52,9,9,,20,5,1,,,12,4,,,1,7,,,7,,,,,,,,,,,,,1,,,,,,2,2,1,4,,,,1,1,5,,4
146.36,2054.72,1.9,0.07,1.6,41696,75,38,151,1,2,21,,,,,8,,2,1,,,5,18,,,,,,,,9,,,,,,,,5,29,,,,12,,5,,,12,,,,1,9,,,3,,,,,,,,1,,,,,,,,,,,5,1,,13,,,,,2,,,
149.87,2107.09,1.8,0.07,3.3,41696,136,29,174,6,3,49,,,,,8,1,1,1,,5,7,4,2,,,,1,,1,6,,,,,,,,6,36,2,1,,7,2,2,3,,16,,,,,4,,,3,,,,,1,1,,,,,,,2,,,,,,5,1,,10,,,,,2,3,2,4
158.05,2219.7,1.8,0.07,2.2,41696,76,51,156,2,4,16,,,,,6,,,,,,5,8,,,,,,,3,4,,1,,,2,,,4,30,2,,,13,,1,,,16,,,,,5,2,,1,,,,,,,,1,,,,,,,,,,,2,3,,19,,,,,3,2,,
161.56,2267.84,1.7,0.07,3.4,41696,65,17,225,6,3,21,,,,,5,,,,,1,2,2,,,1,,,,1,5,,,,,2,,,5,29,3,3,,8,1,3,1,,18,,,,,3,,,2,,,,,,,,,,,,,,,,,,,7,,,2,,,,2,,,,
173.25,2429.2,1.9,0.07,2.4,41696,84,19,182,4,1,41,,,,,7,,1,,,4,2,7,1,,,,1,1,2,6,,,,,2,,,6,29,3,2,,18,2,4,,,17,,,,,2,1,,1,,1,,,,,,,,,,,1,,,,,,2,1,,12,,,,,2,1,,
184.94,2590.13,1.8,0.07,2.4,41696,163,22,200,,2,34,,,,,4,,1,1,,2,1,4,,,,,,,2,5,,,,,,,,4,29,2,1,,10,,,1,,19,1,,,,5,,,2,1,,,,,,,,,,,,,,,,,,6,4,,16,,,1,1,5,1,,
190.78,2670.86,1.8,0.07,2.9,41696,93,22,170,13,1,34,,2,,,11,2,4,3,,1,4,3,2,,,,,,2,2,1,,,,,,,9,23,7,7,,10,,,2,,13,,4,,,15,,,2,,,,,,2,,1,,,,,1,,,,,,7,1,,6,,,2,1,2,,,2
202.47,2810.18,1.8,0.09,2.5,41696,57,28,203,1,3,33,,,,,8,,2,3,,,0,4,,,,,,,1,5,,1,,,,,,4,12,4,,,10,1,3,1,,14,,,,,8,1,,1,,,,,,,,,,,,,,,,,,,4,1,,12,,,,2,1,3,,
214.16,2949.44,2,0.09,2.3,41696,156,21,191,,1,41,,,,2,3,,2,1,,1,1,5,,,,,,,1,4,,,,,,,,4,22,1,8,,10,1,,2,,20,,,1,,10,,,5,,,,,,,,,,,,,,,,,,,4,,,19,,,,5,4,2,,
